block_number,priceEconomical,priceStandard,priceFast,numberOfTxs,scoreEconomicalPlus1,scoreStandardPlus1,scoreFastPlus1,scoreEconomicalPlus2,scoreStandardPlus2,scoreFastPlus2,scoreEconomicalPlus3,scoreStandardPlus3,scoreFastPlus3,scoreEconomicalPlus4,scoreStandardPlus4,scoreFastPlus4,scoreEconomicalPlus5,scoreStandardPlus5,scoreFastPlus5,scoreEconomicalPlus6,scoreStandardPlus6,scoreFastPlus6,scoreEconomicalPlus7,scoreStandardPlus7,scoreFastPlus7,scoreEconomicalPlus8,scoreStandardPlus8,scoreFastPlus8,scoreEconomicalPlus9,scoreStandardPlus9,scoreFastPlus9,scoreEconomicalPlus10,scoreStandardPlus10,scoreFastPlus10
557963,2.577,4.244,19.566,2965,-1,-1,-1,-1,-1,-1,10.260,4.750,2.597,96.311,79.343,48.826,96.270,90.053,56.187,82.729,23.436,13.509,-1,-1,-1,63.673,37.347,21.837,50.751,32.309,16.440,52.059,32.794,18.284
557968,2.572,4.011,19.183,3409,82.729,23.436,13.509,-1,-1,-1,63.673,37.347,21.837,50.751,32.309,16.440,52.059,32.794,18.284,2.591,2.591,2.591,99.524,98.333,55.794,91.350,68.862,31.250,78.203,17.676,10.377,-1,-1,-1
557972,2.531,3.649,18.280,2104,52.059,38.284,21.961,2.591,2.591,2.591,99.524,98.333,68.889,91.350,87.779,36.384,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065,93.141,91.913,45.921,-1,-1,-1,41.731,20.844,10.724
557975,2.262,3.613,18.264,2877,91.350,87.779,36.384,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065,93.141,91.913,45.921,-1,-1,-1,41.731,20.844,10.724,-1,-1,-1,58.028,33.486,17.202,55.061,31.220,15.563
557918,1.004,1.004,4.633,1241,99.924,99.924,99.017,97.396,97.396,61.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,33.577,99.900,99.900,99.799,100.000,100.000,99.881,100.000,100.000,99.808,-1,-1,-1
557924,1.000,1.208,5.066,220,99.900,99.900,99.799,100.000,100.000,99.881,100.000,100.000,99.808,-1,-1,-1,100.000,100.000,99.484,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.602,99.602,58.350,99.918,99.918,94.581
557966,2.572,4.015,19.251,1908,96.311,79.343,48.826,96.270,90.053,56.187,82.729,23.436,13.509,-1,-1,-1,63.673,37.347,21.837,50.751,32.309,16.440,52.059,32.794,18.284,2.591,2.591,2.591,99.524,98.333,55.794,91.350,68.862,31.250
557971,2.535,3.805,18.300,761,50.751,35.025,21.944,52.059,38.284,21.961,2.591,2.591,2.591,99.524,98.333,68.889,91.350,87.779,36.384,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065,93.141,91.913,45.921,-1,-1,-1
557984,2.213,3.125,14.779,699,55.061,31.220,18.165,43.131,24.324,18.581,100.000,100.000,59.627,40.273,21.821,12.435,95.815,94.753,73.766,48.592,23.478,10.084,0.000,0.000,0.000,48.532,37.506,24.940,-1,-1,-1,44.247,33.728,23.734
557919,1.004,1.004,5.438,2623,97.396,97.396,48.739,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,32.847,99.900,99.900,99.799,100.000,100.000,99.881,100.000,100.000,99.808,-1,-1,-1,100.000,100.000,99.484
557947,3.000,5.000,19.225,2441,99.748,99.748,99.496,-1,-1,-1,-1,-1,-1,-1,-1,-1,44.949,37.197,27.408,99.569,99.483,99.053,96.998,95.854,70.264,-1,-1,-1,9.823,0.951,0.407,99.029,98.490,77.886
557969,2.572,3.941,18.329,3013,-1,-1,-1,63.673,42.857,24.898,50.751,35.025,21.944,52.059,38.284,21.961,2.591,2.591,2.591,99.524,98.333,68.889,91.350,87.779,36.384,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065
557934,1.004,3.013,22.098,2212,-1,-1,-1,-1,-1,-1,99.762,98.098,45.065,-1,-1,-1,99.867,99.268,55.289,100.000,100.000,82.993,99.898,99.490,11.786,-1,-1,-1,99.664,99.058,33.715,100.000,99.335,35.408
557939,1.504,3.375,24.000,2903,100.000,100.000,80.272,99.898,99.490,11.480,-1,-1,-1,99.664,99.058,32.234,100.000,99.335,33.474,-1,-1,-1,-1,-1,-1,99.927,84.099,43.837,100.000,99.748,98.803,-1,-1,-1
557953,2.690,4.714,20.089,2874,98.642,96.497,64.975,-1,-1,-1,40.607,1.811,0.407,99.676,98.598,73.031,-1,-1,-1,-1,-1,-1,65.882,47.647,32.000,94.326,79.755,51.709,99.924,99.542,81.069,99.679,98.557,77.145
557954,2.690,4.727,22.192,2649,-1,-1,-1,40.607,1.811,0.362,99.676,98.598,66.667,-1,-1,-1,-1,-1,-1,65.882,47.647,26.000,94.326,79.755,44.874,99.924,99.542,70.534,99.679,98.557,61.989,-1,-1,-1
557977,2.531,3.612,17.996,2849,-1,-1,-1,49.306,35.880,21.991,93.141,91.913,48.087,-1,-1,-1,41.731,20.844,11.370,-1,-1,-1,58.028,33.486,17.661,55.061,31.220,16.131,43.131,24.324,16.667,100.000,100.000,52.795
557980,2.262,3.396,17.422,3083,-1,-1,-1,41.731,20.844,11.370,-1,-1,-1,58.028,33.486,17.661,55.061,31.220,16.131,43.131,24.324,16.667,100.000,100.000,52.795,40.273,21.821,10.469,95.815,94.753,64.710,48.592,23.478,9.437
557985,2.224,3.106,14.702,3267,43.131,24.324,18.581,100.000,100.000,59.627,40.273,21.821,12.435,95.815,94.753,73.766,48.592,23.478,10.084,0.000,0.000,0.000,48.532,37.506,24.940,-1,-1,-1,44.247,33.728,23.734,-1,-1,-1
557927,1.000,1.208,8.036,1028,-1,-1,-1,100.000,100.000,99.419,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.602,99.602,30.716,99.918,99.918,84.401,-1,-1,-1,-1,-1,-1,99.762,99.762,62.782
557973,2.451,3.625,18.264,3143,2.591,2.591,2.591,99.524,98.333,68.889,91.350,87.779,36.384,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065,93.141,91.913,45.921,-1,-1,-1,41.731,20.844,10.724,-1,-1,-1
557944,2.577,5.054,22.739,2746,-1,-1,-1,-1,-1,-1,92.633,70.095,48.067,99.937,99.748,99.118,-1,-1,-1,-1,-1,-1,-1,-1,-1,54.581,37.197,24.432,99.742,99.483,97.933,98.642,95.854,51.823
557948,3.000,5.000,22.192,2754,-1,-1,-1,-1,-1,-1,-1,-1,-1,44.949,37.197,24.432,99.569,99.483,97.933,96.998,95.854,51.823,-1,-1,-1,9.823,0.951,0.362,99.029,98.490,66.667,-1,-1,-1
557920,1.004,1.004,5.126,1840,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,32.847,99.900,99.900,99.799,100.000,100.000,99.881,100.000,100.000,99.808,-1,-1,-1,100.000,100.000,99.484,-1,-1,-1
557933,1.004,3.000,21.215,1358,99.918,99.179,49.836,-1,-1,-1,-1,-1,-1,99.762,98.098,46.373,-1,-1,-1,99.867,99.268,57.751,100.000,100.000,85.850,99.898,99.490,12.194,-1,-1,-1,99.664,99.058,34.522
557962,2.577,4.244,20.187,3032,99.679,98.557,77.145,-1,-1,-1,-1,-1,-1,10.260,4.750,2.533,96.311,79.343,44.467,96.270,90.053,49.852,82.729,23.436,12.693,-1,-1,-1,63.673,37.347,20.000,50.751,32.309,13.295
557960,2.577,4.302,19.535,1320,94.326,79.755,58.607,99.924,99.542,87.863,99.679,98.557,82.117,-1,-1,-1,-1,-1,-1,10.260,4.750,2.597,96.311,79.343,48.826,96.270,90.053,56.187,82.729,23.436,13.509,-1,-1,-1
557987,2.169,3.065,14.762,408,40.273,21.821,12.435,95.815,94.753,73.766,48.592,23.478,10.084,0.000,0.000,0.000,48.532,37.506,24.940,-1,-1,-1,44.247,33.728,23.734,-1,-1,-1,-1,-1,-1,-1,-1,-1
557992,2.130,3.187,18.256,3017,-1,-1,-1,44.247,33.728,21.302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557916,1.004,1.004,3.040,2825,99.935,99.935,72.521,99.847,99.847,98.622,99.924,99.924,99.017,97.396,97.396,72.254,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,42.336,99.900,99.900,99.799,100.000,100.000,100.000
557956,2.618,4.616,19.535,2510,99.676,98.598,77.886,-1,-1,-1,-1,-1,-1,65.882,47.647,35.765,94.326,79.755,58.607,99.924,99.542,87.863,99.679,98.557,82.117,-1,-1,-1,-1,-1,-1,10.260,4.750,2.597
557937,1.402,3.040,23.178,1430,-1,-1,-1,99.867,99.268,54.957,100.000,100.000,82.177,99.898,99.490,11.735,-1,-1,-1,99.664,99.058,33.109,100.000,99.335,35.166,-1,-1,-1,-1,-1,-1,99.927,84.099,47.557
557941,2.137,4.616,24.048,2601,-1,-1,-1,99.529,97.914,32.234,99.879,98.006,33.474,-1,-1,-1,-1,-1,-1,92.633,76.878,43.837,99.937,99.748,98.803,-1,-1,-1,-1,-1,-1,-1,-1,-1
557982,2.250,3.375,17.229,3230,-1,-1,-1,58.028,33.486,17.661,55.061,31.220,16.131,43.131,24.324,16.667,100.000,100.000,52.795,40.273,21.821,10.469,95.815,94.753,64.710,48.592,23.478,9.437,0.000,0.000,0.000,48.532,37.506,23.447
557988,2.169,3.065,15.930,3399,95.815,94.753,72.330,48.592,23.478,10.084,0.000,0.000,0.000,48.532,37.506,24.121,-1,-1,-1,44.247,33.728,23.340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557926,1.000,1.208,5.126,1002,100.000,100.000,99.808,-1,-1,-1,100.000,100.000,99.484,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.602,99.602,58.350,99.918,99.918,94.581,-1,-1,-1,-1,-1,-1
557976,2.475,3.754,18.264,3325,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065,93.141,91.913,45.921,-1,-1,-1,41.731,20.844,10.724,-1,-1,-1,58.028,33.486,17.202,55.061,31.220,15.563,43.131,24.324,15.878
557925,1.000,1.208,5.073,1370,100.000,100.000,99.881,100.000,100.000,99.808,-1,-1,-1,100.000,100.000,99.484,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.602,99.602,58.350,99.918,99.918,94.581,-1,-1,-1
557952,2.690,4.711,19.493,2015,99.742,99.483,99.053,98.642,96.497,70.264,-1,-1,-1,40.607,1.811,0.407,99.676,98.598,77.886,-1,-1,-1,-1,-1,-1,65.882,47.647,35.765,94.326,79.755,58.607,99.924,99.542,87.863
557961,2.577,4.244,19.535,3171,99.924,99.542,87.863,99.679,98.557,82.117,-1,-1,-1,-1,-1,-1,10.260,4.750,2.597,96.311,79.343,48.826,96.270,90.053,56.187,82.729,23.436,13.509,-1,-1,-1,63.673,37.347,21.837
557967,2.572,4.016,19.254,2967,96.270,90.053,56.187,82.729,23.436,13.509,-1,-1,-1,63.673,37.347,21.837,50.751,32.309,16.440,52.059,32.794,18.284,2.591,2.591,2.591,99.524,98.333,55.794,91.350,68.862,31.250,78.203,17.676,10.377
557979,2.254,3.396,17.422,689,93.141,91.913,48.087,-1,-1,-1,41.731,20.844,11.370,-1,-1,-1,58.028,33.486,17.661,55.061,31.220,16.131,43.131,24.324,16.667,100.000,100.000,52.795,40.273,21.821,10.469,95.815,94.753,64.710
557994,2.000,3.028,17.483,2161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557917,1.004,1.004,4.616,2531,99.847,99.847,98.622,99.924,99.924,99.017,97.396,97.396,61.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,33.577,99.900,99.900,99.799,100.000,100.000,99.881,100.000,100.000,99.808
557943,2.572,4.957,23.913,2369,99.879,98.006,35.166,-1,-1,-1,-1,-1,-1,92.633,76.878,47.557,99.937,99.748,99.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,54.581,37.901,24.276,99.742,99.483,97.761
557986,2.138,3.040,14.066,1325,100.000,100.000,59.627,40.273,21.821,12.435,95.815,94.753,73.766,48.592,23.478,10.084,0.000,0.000,0.000,48.532,37.506,24.940,-1,-1,-1,44.247,33.728,23.734,-1,-1,-1,-1,-1,-1
557990,2.138,3.063,16.691,3301,0.000,0.000,0.000,48.532,37.506,23.736,-1,-1,-1,44.247,33.728,22.485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557957,2.618,4.616,20.020,2018,-1,-1,-1,-1,-1,-1,65.882,47.647,32.000,94.326,79.755,51.709,99.924,99.542,81.069,99.679,98.557,77.145,-1,-1,-1,-1,-1,-1,10.260,4.750,2.533,96.311,79.343,44.467
557940,1.509,3.531,24.278,3092,99.898,99.490,11.480,-1,-1,-1,99.664,99.058,32.234,100.000,99.335,33.474,-1,-1,-1,-1,-1,-1,99.927,84.099,43.837,100.000,99.748,98.803,-1,-1,-1,-1,-1,-1
557974,2.254,3.593,18.257,210,99.524,98.333,68.889,91.350,87.779,36.384,78.203,23.784,12.214,-1,-1,-1,49.306,35.880,21.065,93.141,91.913,45.921,-1,-1,-1,41.731,20.844,10.724,-1,-1,-1,58.028,33.486,17.202
557989,2.189,3.125,17.229,3445,48.592,23.478,9.437,0.000,0.000,0.000,48.532,37.506,23.447,-1,-1,-1,44.247,33.728,22.091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557991,2.138,3.065,16.871,2,48.532,37.506,23.736,-1,-1,-1,44.247,33.728,22.485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557915,1.004,1.004,2.531,159,85.927,85.927,63.781,99.935,99.935,93.130,99.847,99.847,98.928,99.924,99.924,99.319,97.396,97.396,82.262,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.263,72.263,55.474,99.900,99.900,99.900
557929,1.000,1.285,19.225,2179,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.602,99.602,15.805,99.918,99.918,53.859,-1,-1,-1,-1,-1,-1,99.762,99.762,49.227,-1,-1,-1,99.867,99.867,62.475
